"Report Written:","09:17 Friday, August 08, 2025"
"Project Path:","D:\Development\Perspective\Pedals\HeartOfGold\Gold.prj"
"Design Path:","D:\Development\Perspective\Pedals\HeartOfGold\Gold.pcb"
"Design Title:",
"Created:","03/10/2020 09:07:15"
"Last Saved:","08/06/2021 16:22:38"
"Editing Time:","29421 min"
"Units:","thou (precision 0)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"Q1","1","2N3904","","DSC","","","","","NPN Bipolar"
"C1","1","Ceramic Disc Capacitor","47pF","DSC","","","","",""
"C3","1","Ceramic Disc Capacitor","120pF","DSC","","","","",""
"V1","1","ECC83","","FM7090","","","","",""
"LED1","1","LED","LED 5MM RED","DSC","","","","","Light Em Di"
"C9","1","Polyester Capacitor","3.9nF","DISC02","","","","",""
"C7","1","Polyester Capacitor","10nF","DISC02","","","","",""
"C10","1","Polyester Capacitor","22nF","DISC02","","","","",""
"C6","1","Polyester Capacitor","33nF","DISC02","","","","",""
"C8","1","Polyester Capacitor","47nF","DISC02","","","","",""
"C11","1","Polyester Capacitor","100nF","DISC03","","","","",""
"VR5","1","Potentiometer","A100K","RD901F Reverse Mount","","","","",""
"VR1","1","Potentiometer","A500K","RD901F Reverse Mount","","","","",""
"VR2","1","Potentiometer","B10K","RD901F Reverse Mount","","","","",""
"VR3","1","Potentiometer","B100K","RD901F Reverse Mount","","","","",""
"C20","1","Radial Electrolytic","4.7uF","RADIAL 5MM","","","","",""
"C21","1","Radial Electrolytic","4.7uF","RADIAL 5MM","","","","",""
"C16","1","Radial Electrolytic","22uF","RADIAL 5MM","","","","",""
"C17","1","Radial Electrolytic","22uF","RADIAL 5MM","","","","",""
"C19","1","Radial Electrolytic","22uF","RADIAL 5MM","","","","",""
"C13","1","Radial Electrolytic","470uF","RADIAL 10MM","","","","",""
"C14","1","Radial Electrolytic","470uF","RADIAL 10MM","","","","",""
"C15","1","Radial Electrolytic","470uF","RADIAL 10MM","","","","",""
"C18","1","Radial Electrolytic","470uF","RADIAL 10MM","","","","",""
"U1","1","RC4558","","DIL","","","","","Dual Op Amp"
"D3","1","Rectifier diode","","DIODE04","","","","",""
"D4","1","Rectifier diode","","DIODE04","","","","",""
"R8","1","Resistor","1K5","DSC4","","","","",""
"R5","1","Resistor","1M","DSC4","","","","",""
"R9","1","Resistor","1M","DSC4","","","","",""
"R26","1","Resistor","4K7","DSC4","","","","",""
"R28","1","Resistor","4K7","DSC4","","","","",""
"R7","1","Resistor","10K","DSC4","","","","",""
"R10","1","Resistor","10K","DSC4","","","","",""
"R13","1","Resistor","10K","DSC4","","","","",""
"R15","1","Resistor","10K","DSC4","","","","",""
"R21","1","Resistor","10K","DSC4","","","","",""
"R23","1","Resistor","10K","DSC4","","","","",""
"R24","1","Resistor","10K","DSC4","","","","",""
"R27","1","Resistor","10R","DSC4","","","","",""
"R14","1","Resistor","22K","DSC4","","","","",""
"R19","1","Resistor","22K","DSC4","","","","",""
"R17","1","Resistor","39K","DSC4","","","","",""
"R11","1","Resistor","47K","DSC4","","","","",""
"R12","1","Resistor","47K","DSC4","","","","",""
"R16","1","Resistor","47K","DSC4","","","","",""
"R25","1","Resistor","100K","DSC4","","","","",""
"R20","1","Resistor","470R","DSC4","","","","",""
"R22","1","Resistor","680R","DSC4","","","","",""
"J2","1","Screw Conn 2 Pole","","Narrow","","","","",""
"J3","1","Screw Conn 2 Pole","","Narrow","","","","",""
"J4","1","Screw Conn 2 Pole","","Narrow","","","","",""
"J1","1","Switched 5.5mm Barrel Jack","","DSC","","","","",""
